"","arrests_B","arrests_W","arrests_total","ct_pop","ct_white","ct_black","sir_total","sir_white","sir_black","eTot","eW","eB"
"89",27,107,136,2470,1969,336,1.61152793141177,3.0905700766746,4.90109870167579,84.391959549133,34.6214443760907,5.50896883402248
"90",18,58,76,2415,2037,223,0.921069368178716,1.61933796675702,4.92307672275954,82.512786360792,35.8171062438277,3.65625014877087
"91",254,64,321,2473,1072,1347,3.79906564716125,3.39535917476484,11.5009862134185,84.4944599048607,18.8492576796187,22.0850625578223
"92",263,58,326,2450,1167,1177,3.89446134733309,2.82655650238564,13.6285059337829,83.7086238442817,20.5196676418983,19.2977866596561
"93",219,65,284,2322,1221,969,3.57974430424687,3.02759811754728,13.7844454712423,79.3352753332335,21.4691638309836,15.887472619547
"94",264,51,316,2197,1213,860,4.20971706412994,2.39116700333295,18.7229569006654,75.064427177913,21.3284977288969,14.1003368966052
"95",200,79,279,2574,1193,1285,3.17242630882865,3.76605953730728,9.49283276416237,87.9453052143596,20.9768324736801,21.0685266420205
"96",213,69,283,2460,1182,1158,3.3670317412008,3.31995462456385,11.2186346792533,84.0502916967074,20.7834165833109,18.9862675886846
"97",194,92,286,2414,1127,1226,3.46756530931058,4.64263397365805,9.65117569240634,82.4786195755494,19.8163371314648,20.1011779479511
"98",224,119,343,2344,1064,1195,4.28284537107058,6.36071398035717,11.4327070411569,80.0869446085699,18.708591577532,19.5929099900502
"99",255,96,351,2284,1192,977,4.49786999940784,4.58031673911231,15.9189558648767,78.0369374940161,20.9592492109193,16.0186385441666
"100",397,75,472,2993,163,2688,4.61563187525082,26.1682206337321,9.00803789150597,102.261188230994,2.86607183001665,44.0717506721799
"101",370,85,458,3152,166,2726,4.25280188043277,29.1213411148882,8.2783700251669,107.693707084562,2.91882161829916,44.6947888141229
"102",387,71,458,2901,286,2400,4.6207623326867,14.1186395055563,9.83487139469609,99.1178439886781,5.02881314959976,39.3497773858749
"103",398,74,475,2600,170,2359,5.34707337536442,24.7561629242413,10.2902065718007,88.8336416306663,2.98915466934251,38.6775520221995
"104",420,91,511,2519,147,2289,5.93729482167875,35.2066409669069,11.1910918366501,86.0661320260186,2.58473962584323,37.5298501817782
"105",305,113,419,2451,157,2218,5.00341577884172,40.9335418983195,8.38701190508191,83.7427906295243,2.76057225345162,36.3657526007794
